"","Organisation","Indv","StartDate","EndDate","FedStart","FedEnd","Year","YearsExp"
"408","African-American Credit Union Coalition (AACUC)","Alvis Lee Williams",2013,2013,2013,2013,2013,0
"460","Agnes Scott College","Professor, Dr Susan M Phillips",1964,1967,1991,1998,1997,3
"461","Agnes Scott College","Professor, Dr Susan M Phillips",1964,1967,1991,1998,1998,3
"614","ALEXANDER & BALDWIN INC","Walter A Dods Jr",2012,2013,1998,2000,1998,0
"615","ALEXANDER & BALDWIN INC","Walter A Dods Jr",2012,2013,1998,2000,1999,0
"616","ALEXANDER & BALDWIN INC","Walter A Dods Jr",2012,2013,1998,2000,2000,0
"647","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,1997,1
"648","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,1998,1
"649","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,1999,1
"650","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2000,1
"651","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2001,1
"652","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2002,1
"653","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2003,1
"654","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2004,1
"655","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2005,1
"656","Alfalfa Club","Doctor Alan Greenspan",1996,1997,1987,2006,2006,1
"856","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2002,2005,2002,1
"857","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2002,2005,2003,1
"858","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2002,2005,2004,1
"859","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2002,2005,2005,1
"901","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,2013,2013,2013,1
"903","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,1998,1
"904","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,1999,1
"905","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2000,1
"906","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2001,1
"907","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2002,1
"908","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2003,1
"909","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2004,1
"910","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2005,1
"911","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2006,1
"912","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2007,1
"913","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2008,1
"914","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2009,1
"915","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2010,1
"916","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2011,1
"917","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2012,1
"918","Alfred P Sloan Foundation","Doctor Morris A Davis",1997,1998,1998,2013,2013,1
"928","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2006,1
"929","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2007,1
"930","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2008,1
"931","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2009,1
"932","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2010,1
"933","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2011,1
"934","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2012,1
"935","Alfred P Sloan Foundation","Doctor Ben S Bernanke",1983,1984,2006,2013,2013,1
"988","ALLEGHENY TECHNOLOGIES INC","Louis J Thomas",2004,2013,1998,1999,1998,0
"989","ALLEGHENY TECHNOLOGIES INC","Louis J Thomas",2004,2013,1998,1999,1999,0
"1213","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2002,2005,2002,1
"1214","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2002,2005,2003,2
"1215","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2002,2005,2004,3
"1216","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2002,2005,2005,4
"1234","American Academy of Arts and Sciences (AAAS)","Doctor John Edward Sexton",2013,2013,2006,2006,2006,0
"1276","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1997,1999,1997,0
"1277","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1997,1999,1998,0
"1278","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1997,1999,1999,0
"1295","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1999,2001,1999,0
"1296","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1999,2001,2000,0
"1297","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,1999,2001,2001,0
"1315","American Academy of Arts and Sciences (AAAS)","Professor, Dr Martin (Marty) Stuart Feldstein",1976,1977,2002,2003,2002,1
"1316","American Academy of Arts and Sciences (AAAS)","Professor, Dr Martin (Marty) Stuart Feldstein",1976,1977,2002,2003,2003,1
"1332","American Academy of Arts and Sciences (AAAS)","Professor, Dr Martin (Marty) Stuart Feldstein",1977,2013,2002,2003,2002,25
"1333","American Academy of Arts and Sciences (AAAS)","Professor, Dr Martin (Marty) Stuart Feldstein",1977,2013,2002,2003,2003,26
"1348","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2001,0
"1349","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2002,0
"1350","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2003,0
"1351","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2004,0
"1352","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2005,0
"1353","American Academy of Arts and Sciences (AAAS)","Doctor Roger Walton Ferguson Jr",2013,2013,2001,2006,2006,0
"1370","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2006,5
"1371","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2007,6
"1372","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2008,7
"1373","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2009,8
"1374","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2010,9
"1375","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2011,10
"1376","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2012,11
"1377","American Academy of Arts and Sciences (AAAS)","Doctor Ben S Bernanke",2001,2013,2006,2013,2013,12
"1421","American Arbitration Association (AAA)","Doctor John Edward Sexton",1992,2013,2006,2006,2006,14
"1431","American Artstone Co","Mary Ellen Domeier",2003,2009,1999,2003,1999,0
"1432","American Artstone Co","Mary Ellen Domeier",2003,2009,1999,2003,2000,0
"1433","American Artstone Co","Mary Ellen Domeier",2003,2009,1999,2003,2001,0
"1434","American Artstone Co","Mary Ellen Domeier",2003,2009,1999,2003,2002,0
"1435","American Artstone Co","Mary Ellen Domeier",2003,2009,1999,2003,2003,0
"1481","American Bankers Association (ABA)","Walter A Dods Jr",1996,1997,1998,2000,1998,1
"1482","American Bankers Association (ABA)","Walter A Dods Jr",1996,1997,1998,2000,1999,1
"1483","American Bankers Association (ABA)","Walter A Dods Jr",1996,1997,1998,2000,2000,1
"1508","American Bankers Association (ABA)","R Scott Smith Jr",2006,2009,2008,2010,2008,2
"1509","American Bankers Association (ABA)","R Scott Smith Jr",2006,2009,2008,2010,2009,3
"1510","American Bankers Association (ABA)","R Scott Smith Jr",2006,2009,2008,2010,2010,3
"1518","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2001,1
"1519","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2002,1
"1520","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2003,1
"1521","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2004,1
"1522","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2005,1
"1523","American Bankers Association (ABA)","Mark W Olson",1986,1987,2001,2006,2006,1
"1542","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2008,5
"1543","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2009,5
"1544","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2010,5
"1545","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2011,5
"1546","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2012,5
"1547","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",1999,2004,2008,2013,2013,5
"1559","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2008,1
"1560","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2009,1
"1561","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2010,1
"1562","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2011,1
"1563","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2012,1
"1564","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2004,2005,2008,2013,2013,1
"1576","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2008,1
"1577","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2009,1
"1578","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2010,1
"1579","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2011,1
"1580","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2012,1
"1581","American Bankers Association (ABA)","Elizabeth (Betsy) A Duke",2005,2006,2008,2013,2013,1
"1582","American Bar Foundation (ABF)","Roberta Cooper Ramo",2013,2013,1994,1997,1997,0
"1615","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,2013,2013,2013,5
"1617","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,1998,0
"1618","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,1999,0
"1619","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2000,0
"1620","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2001,0
"1621","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2002,0
"1622","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2003,0
"1623","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2004,0
"1624","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2005,0
"1625","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2006,0
"1626","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2007,0
"1627","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2008,0
"1628","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2009,1
"1629","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2010,2
"1630","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2011,3
"1631","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2012,4
"1632","American Capital Agency Corp","Doctor Morris A Davis",2008,2013,1998,2013,2013,5
"1649","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,2013,2013,2013,0
"1651","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,1998,0
"1652","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,1999,0
"1653","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2000,0
"1654","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2001,0
"1655","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2002,0
"1656","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2003,0
"1657","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2004,0
"1658","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2005,0
"1659","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2006,0
"1660","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2007,0
"1661","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2008,0
"1662","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2009,0
"1663","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2010,0
"1664","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2011,0
"1665","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2012,0
"1666","American Capital Agency Corp","Doctor Morris A Davis",2008,2008,1998,2013,2013,0
"1683","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,2013,2013,2013,1
"1700","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,2013,2013,2013,1
"1702","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,1998,0
"1703","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,1999,0
"1704","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2000,0
"1705","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2001,0
"1706","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2002,0
"1707","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2003,0
"1708","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2004,0
"1709","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2005,0
"1710","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2006,0
"1711","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2007,0
"1712","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2008,0
"1713","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2009,0
"1714","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2010,0
"1715","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2011,0
"1716","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2012,1
"1717","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2012,1998,2013,2013,1
"1719","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,1998,0
"1720","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,1999,0
"1721","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2000,0
"1722","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2001,0
"1723","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2002,0
"1724","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2003,0
"1725","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2004,0
"1726","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2005,0
"1727","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2006,0
"1728","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2007,0
"1729","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2008,0
"1730","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2009,0
"1731","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2010,0
"1732","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2011,0
"1733","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2012,0
"1734","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2012,2013,1998,2013,2013,1
"1751","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,2013,2013,2013,0
"1753","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,1998,0
"1754","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,1999,0
"1755","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2000,0
"1756","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2001,0
"1757","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2002,0
"1758","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2003,0
"1759","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2004,0
"1760","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2005,0
"1761","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2006,0
"1762","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2007,0
"1763","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2008,0
"1764","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2009,0
"1765","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2010,0
"1766","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2011,0
"1767","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2012,0
"1768","American Capital Mortgage Investment Corp","Doctor Morris A Davis",2011,2011,1998,2013,2013,0
"1796","American Chamber of Commerce in Korea","Larry Allan Klane",2013,2013,2007,2008,2007,0
"1797","American Chamber of Commerce in Korea","Larry Allan Klane",2013,2013,2007,2008,2008,0
"1837","American College of Trust and Estate Counsel (ACTEC)","Roberta Cooper Ramo",2013,2013,1994,1997,1997,0
"1863","American Council on Education (ACE)","Doctor John Edward Sexton",2013,2013,2006,2006,2006,0
"2296","American Economic Association (AEA)","Doctor Janet Louise Yellen",1986,1987,1994,1997,1997,1
"2313","American Economic Association (AEA)","Doctor Janet Louise Yellen",1988,1990,1994,1997,1997,2
"2330","American Economic Association (AEA)","Doctor Janet Louise Yellen",1987,1991,1994,1997,1997,4
"2347","American Economic Association (AEA)","Doctor Janet Louise Yellen",2004,2005,1994,1997,1997,0
"2364","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,1992,1998,1997,7
"2365","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,1992,1998,1998,8
"2381","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,1992,1998,1997,0
"2382","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,1992,1998,1998,0
"2399","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,1998,2000,1998,8
"2400","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,1998,2000,1999,9
"2401","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,1998,2000,2000,10
"2416","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,1998,2000,1998,0
"2417","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,1998,2000,1999,0
"2418","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,1998,2000,2000,0
"2435","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2000,2004,2000,10
"2436","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2000,2004,2001,11
"2437","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2000,2004,2002,12
"2438","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2000,2004,2003,13
"2439","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2000,2004,2004,14
"2452","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2000,2004,2000,0
"2453","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2000,2004,2001,0
"2454","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2000,2004,2002,0
"2455","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2000,2004,2003,0
"2456","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2000,2004,2004,0
"2473","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2004,2007,2004,14
"2474","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2004,2007,2005,15
"2475","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2004,2007,2006,16
"2476","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2004,2007,2007,17
"2490","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2004,2007,2004,0
"2491","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2004,2007,2005,0
"2492","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2004,2007,2006,0
"2493","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2004,2007,2007,0
"2510","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2007,2009,2007,17
"2511","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2007,2009,2008,18
"2512","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2007,2009,2009,19
"2527","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2007,2009,2007,0
"2528","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2007,2009,2008,0
"2529","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2007,2009,2009,0
"2675","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",1980,1982,2002,2003,2002,2
"2676","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",1980,1982,2002,2003,2003,2
"2692","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",1988,1989,2002,2003,2002,1
"2693","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",1988,1989,2002,2003,2003,1
"2709","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2003,2004,2002,2003,2002,0
"2710","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2003,2004,2002,2003,2003,0
"2726","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2004,2005,2002,2003,2002,0
"2727","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2004,2005,2002,2003,2003,0
"2743","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2005,2006,2002,2003,2002,0
"2744","American Economic Association (AEA)","Professor, Dr Martin (Marty) Stuart Feldstein",2005,2006,2002,2003,2003,0
"2767","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2009,2013,2009,19
"2768","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2009,2013,2010,20
"2769","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2009,2013,2011,21
"2770","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2009,2013,2012,22
"2771","American Economic Association (AEA)","Doctor Karen Dynan",1990,2012,2009,2013,2013,22
"2784","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2009,2013,2009,0
"2785","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2009,2013,2010,0
"2786","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2009,2013,2011,0
"2787","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2009,2013,2012,0
"2788","American Economic Association (AEA)","Doctor Karen Dynan",2012,2013,2009,2013,2013,1
"2802","American Economic Association (AEA)","Doctor Janet Louise Yellen",1986,1987,2010,2013,2010,1
